[generate_armor] material=Leather, rarity=common, item_type=helmet
  base_armor=1, armor_mult=1, armor_val=1
  base_hp=2, hp_mult=1, hp_val=2
[generate_armor] material=Leather, rarity=common, item_type=chestplate
  base_armor=1, armor_mult=1, armor_val=1
  base_hp=2, hp_mult=1, hp_val=2
[generate_armor] material=Leather, rarity=common, item_type=leggings
  base_armor=1, armor_mult=1, armor_val=1
  base_hp=2, hp_mult=1, hp_val=2
[generate_armor] material=Leather, rarity=common, item_type=boots
  base_armor=1, armor_mult=1, armor_val=1
  base_hp=2, hp_mult=1, hp_val=2
[generate_armor] material=Leather, rarity=uncommon, item_type=helmet
  base_armor=1, armor_mult=3, armor_val=3
  base_hp=2, hp_mult=3, hp_val=6
[generate_armor] material=Leather, rarity=uncommon, item_type=chestplate
  base_armor=1, armor_mult=3, armor_val=3
  base_hp=2, hp_mult=3, hp_val=6
[generate_armor] material=Leather, rarity=uncommon, item_type=leggings
  base_armor=1, armor_mult=3, armor_val=3
  base_hp=2, hp_mult=3, hp_val=6
[generate_armor] material=Leather, rarity=uncommon, item_type=boots
  base_armor=1, armor_mult=3, armor_val=3
  base_hp=2, hp_mult=3, hp_val=6
[generate_armor] material=Leather, rarity=rare, item_type=helmet
  base_armor=1, armor_mult=5, armor_val=5
  base_hp=2, hp_mult=7, hp_val=14
[generate_armor] material=Leather, rarity=rare, item_type=chestplate
  base_armor=1, armor_mult=5, armor_val=5
  base_hp=2, hp_mult=7, hp_val=14
[generate_armor] material=Leather, rarity=rare, item_type=leggings
  base_armor=1, armor_mult=5, armor_val=5
  base_hp=2, hp_mult=7, hp_val=14
[generate_armor] material=Leather, rarity=rare, item_type=boots
  base_armor=1, armor_mult=5, armor_val=5
  base_hp=2, hp_mult=7, hp_val=14
[generate_armor] material=Leather, rarity=epic, item_type=helmet
  base_armor=1, armor_mult=10, armor_val=10
  base_hp=2, hp_mult=13, hp_val=26
[generate_armor] material=Leather, rarity=epic, item_type=chestplate
  base_armor=1, armor_mult=10, armor_val=10
  base_hp=2, hp_mult=13, hp_val=26
[generate_armor] material=Leather, rarity=epic, item_type=leggings
  base_armor=1, armor_mult=10, armor_val=10
  base_hp=2, hp_mult=13, hp_val=26
[generate_armor] material=Leather, rarity=epic, item_type=boots
  base_armor=1, armor_mult=10, armor_val=10
  base_hp=2, hp_mult=13, hp_val=26
[generate_armor] material=Leather, rarity=legendary, item_type=helmet
  base_armor=1, armor_mult=18, armor_val=18
  base_hp=2, hp_mult=24, hp_val=48
[generate_armor] material=Leather, rarity=legendary, item_type=chestplate
  base_armor=1, armor_mult=18, armor_val=18
  base_hp=2, hp_mult=24, hp_val=48
[generate_armor] material=Leather, rarity=legendary, item_type=leggings
  base_armor=1, armor_mult=18, armor_val=18
  base_hp=2, hp_mult=24, hp_val=48
[generate_armor] material=Leather, rarity=legendary, item_type=boots
  base_armor=1, armor_mult=18, armor_val=18
  base_hp=2, hp_mult=24, hp_val=48
[generate_armor] material=Flint, rarity=common, item_type=helmet
  base_armor=2, armor_mult=1, armor_val=2
  base_hp=3, hp_mult=1, hp_val=3
[generate_armor] material=Flint, rarity=common, item_type=chestplate
  base_armor=2, armor_mult=1, armor_val=2
  base_hp=3, hp_mult=1, hp_val=3
[generate_armor] material=Flint, rarity=common, item_type=leggings
  base_armor=2, armor_mult=1, armor_val=2
  base_hp=3, hp_mult=1, hp_val=3
[generate_armor] material=Flint, rarity=common, item_type=boots
  base_armor=2, armor_mult=1, armor_val=2
  base_hp=3, hp_mult=1, hp_val=3
[generate_armor] material=Flint, rarity=uncommon, item_type=helmet
  base_armor=2, armor_mult=2, armor_val=4
  base_hp=3, hp_mult=3, hp_val=9
[generate_armor] material=Flint, rarity=uncommon, item_type=chestplate
  base_armor=2, armor_mult=2, armor_val=4
  base_hp=3, hp_mult=3, hp_val=9
[generate_armor] material=Flint, rarity=uncommon, item_type=leggings
  base_armor=2, armor_mult=2, armor_val=4
  base_hp=3, hp_mult=3, hp_val=9
[generate_armor] material=Flint, rarity=uncommon, item_type=boots
  base_armor=2, armor_mult=2, armor_val=4
  base_hp=3, hp_mult=3, hp_val=9
[generate_armor] material=Flint, rarity=rare, item_type=helmet
  base_armor=2, armor_mult=3, armor_val=6
  base_hp=3, hp_mult=5, hp_val=15
[generate_armor] material=Flint, rarity=rare, item_type=chestplate
  base_armor=2, armor_mult=3, armor_val=6
  base_hp=3, hp_mult=5, hp_val=15
[generate_armor] material=Flint, rarity=rare, item_type=leggings
  base_armor=2, armor_mult=3, armor_val=6
  base_hp=3, hp_mult=5, hp_val=15
[generate_armor] material=Flint, rarity=rare, item_type=boots
  base_armor=2, armor_mult=3, armor_val=6
  base_hp=3, hp_mult=5, hp_val=15
[generate_armor] material=Flint, rarity=epic, item_type=helmet
  base_armor=2, armor_mult=5, armor_val=10
  base_hp=3, hp_mult=9, hp_val=27
[generate_armor] material=Flint, rarity=epic, item_type=chestplate
  base_armor=2, armor_mult=5, armor_val=10
  base_hp=3, hp_mult=9, hp_val=27
[generate_armor] material=Flint, rarity=epic, item_type=leggings
  base_armor=2, armor_mult=5, armor_val=10
  base_hp=3, hp_mult=9, hp_val=27
[generate_armor] material=Flint, rarity=epic, item_type=boots
  base_armor=2, armor_mult=5, armor_val=10
  base_hp=3, hp_mult=9, hp_val=27
[generate_armor] material=Flint, rarity=legendary, item_type=helmet
  base_armor=2, armor_mult=9, armor_val=18
  base_hp=3, hp_mult=16, hp_val=48
[generate_armor] material=Flint, rarity=legendary, item_type=chestplate
  base_armor=2, armor_mult=9, armor_val=18
  base_hp=3, hp_mult=16, hp_val=48
[generate_armor] material=Flint, rarity=legendary, item_type=leggings
  base_armor=2, armor_mult=9, armor_val=18
  base_hp=3, hp_mult=16, hp_val=48
[generate_armor] material=Flint, rarity=legendary, item_type=boots
  base_armor=2, armor_mult=9, armor_val=18
  base_hp=3, hp_mult=16, hp_val=48
[generate_armor] material=Copper, rarity=common, item_type=helmet
  base_armor=3, armor_mult=1, armor_val=3
  base_hp=4, hp_mult=1, hp_val=4
[generate_armor] material=Copper, rarity=common, item_type=chestplate
  base_armor=3, armor_mult=1, armor_val=3
  base_hp=4, hp_mult=1, hp_val=4
[generate_armor] material=Copper, rarity=common, item_type=leggings
  base_armor=3, armor_mult=1, armor_val=3
  base_hp=4, hp_mult=1, hp_val=4
[generate_armor] material=Copper, rarity=common, item_type=boots
  base_armor=3, armor_mult=1, armor_val=3
  base_hp=4, hp_mult=1, hp_val=4
[generate_armor] material=Copper, rarity=uncommon, item_type=helmet
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=2, hp_val=8
[generate_armor] material=Copper, rarity=uncommon, item_type=chestplate
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=2, hp_val=8
[generate_armor] material=Copper, rarity=uncommon, item_type=leggings
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=2, hp_val=8
[generate_armor] material=Copper, rarity=uncommon, item_type=boots
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=2, hp_val=8
[generate_armor] material=Copper, rarity=rare, item_type=helmet
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=4, hp_val=16
[generate_armor] material=Copper, rarity=rare, item_type=chestplate
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=4, hp_val=16
[generate_armor] material=Copper, rarity=rare, item_type=leggings
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=4, hp_val=16
[generate_armor] material=Copper, rarity=rare, item_type=boots
  base_armor=3, armor_mult=2, armor_val=6
  base_hp=4, hp_mult=4, hp_val=16
[generate_armor] material=Copper, rarity=epic, item_type=helmet
  base_armor=3, armor_mult=4, armor_val=12
  base_hp=4, hp_mult=7, hp_val=28
[generate_armor] material=Copper, rarity=epic, item_type=chestplate
  base_armor=3, armor_mult=4, armor_val=12
  base_hp=4, hp_mult=7, hp_val=28
[generate_armor] material=Copper, rarity=epic, item_type=leggings
  base_armor=3, armor_mult=4, armor_val=12
  base_hp=4, hp_mult=7, hp_val=28
[generate_armor] material=Copper, rarity=epic, item_type=boots
  base_armor=3, armor_mult=4, armor_val=12
  base_hp=4, hp_mult=7, hp_val=28
[generate_armor] material=Copper, rarity=legendary, item_type=helmet
  base_armor=3, armor_mult=6, armor_val=18
  base_hp=4, hp_mult=12, hp_val=48
